"id","title","author","url","status","open_time","close_time","reviewers"
"12022","Fix: Replace var with let and const in documentation","OMantere","https://github.com/facebook/react/pull/8051","Merged","22/10/2016 20:07:31",,"[]"
"12023","Updated tutorial.md","mfijas","https://github.com/facebook/react/pull/8054","Merged","22/10/2016 22:36:29",,"[]"
"12024","Accept className in ReactDOMFiber","sebmarkbage","https://github.com/facebook/react/pull/8055","Merged","23/10/2016 00:56:50",,"[]"
"12025","Fix typo","whoffmann","https://github.com/facebook/react/pull/8056","Merged","23/10/2016 04:38:24",,"[]"
"12026","Update handling-events.md","armostafizi","https://github.com/facebook/react/pull/8057","Merged","23/10/2016 07:42:47",,"[]"
"12027","Update tutorial.md, Taking Turns","pavlin99th","https://github.com/facebook/react/pull/8058","Merged","23/10/2016 10:23:19",,"[]"
"12028","Docs: replace reference to getInitialState with state instance prop","giuseppeg","https://github.com/facebook/react/pull/8059","Merged","23/10/2016 11:53:20",,"[]"
"12029","Fix typo","sophiebits","https://github.com/facebook/react/pull/806","Merged","4/1/2014 06:19:06",,"[]"
"12030","support slot attribute on DOM elements for V1 shadowDom named slots p…","Hotell","https://github.com/facebook/react/pull/8061","Merged","23/10/2016 13:24:09",,"[]"
"12031","Link to lifecycle methods from Context doc","gaearon","https://github.com/facebook/react/pull/8062","Merged","23/10/2016 13:34:51",,"[]"
"12032","Remove references to createClass in createElement docs","gaearon","https://github.com/facebook/react/pull/8064","Merged","23/10/2016 14:48:49",,"[]"
"12033","Strip PropTypes checkers in production build","gaearon","https://github.com/facebook/react/pull/8066","Merged","23/10/2016 20:19:47",,"[]"
"12034","Fix typos","marciopuga","https://github.com/facebook/react/pull/8067","Merged","24/10/2016 00:24:59",,"[]"
"12035","Explain what is diefferent from a normal select.","tarjei","https://github.com/facebook/react/pull/8069","Closed","24/10/2016 06:34:25",,"[]"
"12036","Fix: Remove unneeded else branches from documentation examples","localheinz","https://github.com/facebook/react/pull/8070","Closed","24/10/2016 07:08:30",,"[]"
"12037","Refactor ReactPerf for readability","koba04","https://github.com/facebook/react/pull/8071","Closed","24/10/2016 09:52:27",,"[]"
"12038","[Fiber] Add types for ReactFiber and ReactChildFiber","koba04","https://github.com/facebook/react/pull/8072","Merged","24/10/2016 10:45:00",,"[]"
"12039","Docs : Fix createClass reference","thinker3197","https://github.com/facebook/react/pull/8073","Merged","24/10/2016 11:17:30",,"[]"
"12040","Add more highlighting to docs","gaearon","https://github.com/facebook/react/pull/8076","Merged","24/10/2016 14:01:14",,"[]"
"12041","fix: typo in list-and-keys.md","varjmes","https://github.com/facebook/react/pull/8077","Closed","24/10/2016 15:05:46",,"[]"
"12042","Remove copypasta comment","sebmarkbage","https://github.com/facebook/react/pull/8078","Merged","24/10/2016 17:49:41",,"[]"
"12043","Respect state set in componentWillMount() on resuming","gaearon","https://github.com/facebook/react/pull/8079","Merged","24/10/2016 19:34:53",,"[]"
"12044","Prefer textContent to innerText","sophiebits","https://github.com/facebook/react/pull/808","Merged","4/1/2014 06:58:48",,"[]"
"12045","removed duplicated 'the'","cgav","https://github.com/facebook/react/pull/8081","Merged","24/10/2016 22:03:17",,"[]"
"12046","Add npm v4.0.0 support","chicoxyzzy","https://github.com/facebook/react/pull/8082","Merged","24/10/2016 22:49:49",,"[]"
"12047","[Fiber] Implement findDOMNode and isMounted","sebmarkbage","https://github.com/facebook/react/pull/8083","Merged","24/10/2016 23:26:04",,"[""sophiebits"", ""iamdustan"", ""gaearon""]"
"12048","Changes to Forms doc","ericnakagawa","https://github.com/facebook/react/pull/8084","Closed","25/10/2016 00:01:59",,"[""gaearon""]"
"12049","[Fiber] Delete child when the key lines up but the type doesn't","sebmarkbage","https://github.com/facebook/react/pull/8085","Merged","25/10/2016 01:28:33",,"[]"
"12050","[Fiber] Reorganize files for DOM renderer to make overlap between fiber/stack clearer","sebmarkbage","https://github.com/facebook/react/pull/8086","Merged","25/10/2016 03:24:49",,"[""iamdustan""]"
"12051","No ""value"" - Uncontrolled Component","armostafizi","https://github.com/facebook/react/pull/8088","Closed","25/10/2016 09:42:21",,"[]"
"12052","[Fiber]IndeterminateComponent type is unnecessary?","koba04","https://github.com/facebook/react/pull/8089","Closed","25/10/2016 12:58:59",,"[]"
"12053","Add gulp-react to Helpful OSS Projects","passy","https://github.com/facebook/react/pull/809","Merged","4/1/2014 10:20:58",,"[]"
"12054","Update lists-and-keys.md","Jaehlee11","https://github.com/facebook/react/pull/8090","Merged","25/10/2016 13:27:11",,"[]"
"12055","Don't set value prop for uncontrolled component","wrzasa","https://github.com/facebook/react/pull/8093","Closed","25/10/2016 16:52:16",,"[]"
"12056","Add React Remote Conf 2016.","rickbeerendonk","https://github.com/facebook/react/pull/8094","Merged","25/10/2016 18:33:03",,"[]"
"12057","[Fiber] Full Error Boundaries","gaearon","https://github.com/facebook/react/pull/8095","Merged","25/10/2016 18:45:09",,"[""iamdustan"", ""sebmarkbage""]"
"12058","Merge React[DOM/Native]TreeTraversal","sebmarkbage","https://github.com/facebook/react/pull/8096","Merged","25/10/2016 21:26:50",,"[]"
"12059","Shares debugID information across modules","goatslacker","https://github.com/facebook/react/pull/8097","Merged","25/10/2016 22:21:26",,"[""aweary""]"
"12060","Add a guide on loading data asynchronously","rthor","https://github.com/facebook/react/pull/8098","Closed","25/10/2016 23:45:06",,"[""lacker"", ""gaearon"", ""hedgerh""]"
"12061","[Fiber] String refs and owner tracking","acdlite","https://github.com/facebook/react/pull/8099","Merged","26/10/2016 00:04:43",,"[""sebmarkbage"", ""gaearon"", ""aweary""]"
"12062","Upgrade Commoner and Recast to latest versions","benjamn","https://github.com/facebook/react/pull/81","Merged","11/6/2013 19:50:11",,"[]"
"12063","Fix doc for Uncontrolled Components","newyork-anthonyng","https://github.com/facebook/react/pull/8101","Closed","26/10/2016 02:22:53",,"[]"
"12064","[Fiber] Add top level render callbacks into ReactDOMFiber and ReactNoop","koba04","https://github.com/facebook/react/pull/8102","Merged","26/10/2016 05:13:03",,"[""sebmarkbage"", ""gaearon""]"
"12065","Tiny grammar fix in forms.md","dtinth","https://github.com/facebook/react/pull/8103","Closed","26/10/2016 05:25:49",,"[]"
"12066","Fix an argument name of TestUtils.renderIntoDocument","koba04","https://github.com/facebook/react/pull/8104","Merged","26/10/2016 05:28:54",,"[]"
"12067","Update README.md","xinghongfei","https://github.com/facebook/react/pull/8105","Closed","26/10/2016 11:05:43",,"[]"
"12068","Remove extraneous value in controlled form elements docs","gryzzly","https://github.com/facebook/react/pull/8106","Closed","26/10/2016 11:48:28",,"[]"
"12069","Use const instead of var","learosema","https://github.com/facebook/react/pull/8107","Merged","26/10/2016 14:11:54",,"[]"
"12070","docs in chapter forms","scheiblr","https://github.com/facebook/react/pull/8109","Closed","26/10/2016 15:45:58",,"[]"
"12071","Document displayName","xixixao","https://github.com/facebook/react/pull/811","Merged","4/1/2014 16:38:36",,"[]"
"12072","Fix typo in reconciliation.md","akatopo","https://github.com/facebook/react/pull/8110","Merged","26/10/2016 16:11:32",,"[]"
"12073","Forms Update","ericnakagawa","https://github.com/facebook/react/pull/8112","Merged","26/10/2016 17:48:21",,"[""lacker""]"
"12074","Fix lint errors","ivanzotov","https://github.com/facebook/react/pull/8113","Merged","26/10/2016 19:21:52",,"[]"
"12075","Improve devtools image size for the tutorial","ivanzotov","https://github.com/facebook/react/pull/8114","Merged","26/10/2016 19:58:17",,"[]"
"12076","Docs update - Additional","ericnakagawa","https://github.com/facebook/react/pull/8115","Merged","26/10/2016 21:11:45",,"[""lacker""]"
"12077","Attach event listeners at the root of the tree instead of document","vjeux","https://github.com/facebook/react/pull/8117","Closed","26/10/2016 22:06:14",,"[""sebmarkbage""]"
"12078","[Fiber] PureComponent","acdlite","https://github.com/facebook/react/pull/8118","Merged","26/10/2016 23:57:52",,"[""sebmarkbage"", ""sophiebits""]"
"12079","added word break","ghost","https://github.com/facebook/react/pull/8120","Merged","27/10/2016 06:21:52",,"[]"
"12080","Update forms.md","Plortinus","https://github.com/facebook/react/pull/8121","Merged","27/10/2016 08:34:02",,"[]"
"12081","Correct usage of formatName() function in docs","lewisblackwood","https://github.com/facebook/react/pull/8122","Merged","27/10/2016 10:17:20",,"[]"
